LULC_code,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,evi,savi,ndwi,mci,ndci,nbi,y,x
12,0.3798,0.0548,0.0507,0.0745,0.17599106,2.69E-07,9.28E-06,0.4335,0.4539,0.2108,0.1184,0.051,0.1214,0.3339,0.4086,-0.477742727,-0.152358855,0.002949853,0.747814082,0.673542365,0.747814082,-0.672022892,3.128500824,0.377979569,-0.286149678,-2394395,3877745
3,0.3933,0.0929,0.077,0.1123,0.10563866,1.61E-07,5.49E-06,0.4023,0.3831,0.2584,0.1719,0.0673,0.1677,0.3339,0.3833,-0.394119234,-0.09454191,-0.067221067,0.617852735,0.648376056,0.617852735,-0.555775316,2.345259392,0.287029931,-0.206997085,-2394495,3877855
3,0.3321,0.0779,0.0663,0.0923,0.11334994,2.51E-07,6.34E-06,0.3597,0.345,0.2072,0.127,0.0719,0.1424,0.2923,0.3392,-0.383639399,-0.084606345,0.040520984,0.62,0.57773085,0.62,-0.565032988,2.332162921,0.292782569,-0.231596514,-2394535,3877905
4,0.278,0.0599,0.0451,0.0739,0.082583755,1.60E-07,5.88E-06,0.2976,0.3145,0.2105,0.1433,0.09,0.1545,0.2463,0.2755,-0.480309423,-0.104633782,0.33234641,0.645457236,0.4888581,0.645457236,-0.579994317,1.799352751,0.441231343,-0.138178096,-2394665,3878215
4,0.2014,0.0705,0.057,0.0791,0.096289404,2.34E-07,6.38E-06,0.2798,0.2922,0.2235,0.1634,0.0933,0.1695,0.2423,0.2694,-0.477197621,-0.057486631,0.241516966,0.481426995,0.3617679,0.481426995,-0.43600713,1.18820059,0.4125,0.052012238,-2394765,3878215
6,0.1759,0.1085,0.0838,0.1014,0.06839051,3.70E-07,7.51E-06,0.1438,0.1623,0.1183,0.0854,0.0834,0.1156,0.1251,0.1388,-0.076923077,0.033825631,-0.002392344,0.236990155,0.276410214,0.236990155,-0.268662099,1.521626298,0.031682285,-0.19578518,-2394995,3878195
4,0.246,0.0331,0.0345,0.055,0.06245877,1.67E-07,6.23E-06,0.2625,0.2699,0.0956,0.0451,0.0372,0.0832,0.2088,0.2402,-0.269588313,-0.248581158,0.037656904,0.762809029,0.490702871,0.762809029,-0.634551495,2.956730769,0.430782459,-0.44028103,-2395905,3877915
4,0.2282,0.0415,0.0409,0.0573,0.1023843,4.48E-07,9.77E-06,0.2401,0.2549,0.1075,0.054,0.0431,0.091,0.1921,0.2223,-0.30461165,-0.159919028,0.026190476,0.692250649,0.45196292,0.692250649,-0.598598949,2.507692308,0.373584906,-0.359547215,-2396085,3878275
7,0.1523,0.0955,0.0773,0.0928,0.084203325,4.95E-07,9.07E-06,0.1534,0.1761,0.0866,0.0568,0.0693,0.1196,0.1397,0.1549,0.034559643,0.014338821,-0.054570259,0.229217111,0.249007027,0.229217111,-0.242758058,1.273411371,0.112040911,-0.275010465,-2394865,3877945
7,0.1018,0.0631,0.0567,0.0738,0.097028255,1.29E-06,1.12E-05,0.1498,0.2712,0.1403,0.0988,0.0956,0.1133,0.1324,0.1487,-0.310602522,-0.07815924,0.25541694,0.23468769,0.18139601,0.23468769,-0.159453303,0.898499559,0.284580499,0.159025196,-2394815,3878035
7,0.1286,0.0557,0.0483,0.0686,0.06884642,4.64E-07,5.80E-06,0.2284,0.295,0.1536,0.1024,0.0896,0.107,0.1891,0.2301,-0.382538254,-0.103781175,0.299492386,0.395550733,0.241515606,0.395550733,-0.304259635,1.201869159,0.315304241,0.088589653,-2394775,3878045
5,0.203,0.1078,0.0894,0.1095,0.12174586,8.81E-07,1.13E-05,0.209,0.1465,0.1468,0.1048,0.0782,0.1364,0.1802,0.1966,-0.145532579,-0.007823286,-0.066825776,0.306306306,0.338929874,0.306306306,-0.2992,1.488269795,0.117117117,-0.160663236,-2394915,3878005
4,0.1224,0.0723,0.0598,0.0788,0.12761648,1.80E-06,1.75E-05,0.1332,0.2249,0.1111,0.0793,0.0802,0.0994,0.1203,0.1309,-0.170089521,-0.043017869,0.145714286,0.257318952,0.210977702,0.257318952,-0.216699801,1.23138833,0.15783343,-0.048394004,-2394585,3878425
4,0.4731,0.054,0.0501,0.0916,0.11439664,1.45E-07,5.69E-06,0.4873,0.4499,0.2588,0.1339,0.0696,0.1511,0.3917,0.4563,-0.47716895,-0.258241758,0.162907268,0.795105293,0.794139375,0.795105293,-0.675579954,3.131039047,0.473427596,-0.292799563,-2393675,3878095
4,0.4715,0.0501,0.0465,0.0861,0.12000644,2.22E-07,5.64E-06,0.4929,0.4623,0.2136,0.1076,0.0441,0.1371,0.3852,0.4661,-0.425425425,-0.264317181,-0.026490066,0.807898773,0.792953244,0.807898773,-0.691176471,3.439095551,0.46474359,-0.376441395,-2393735,3878105
4,0.2518,0.058,0.0401,0.0657,0.14183532,3.14E-07,1.12E-05,0.3364,0.31,0.1662,0.0891,0.0471,0.1322,0.2639,0.3062,-0.433376455,-0.062247373,0.080275229,0.625564881,0.439936877,0.625564881,-0.586141732,1.904689864,0.390115668,-0.204784689,-2393775,3878145
3,0.3694,0.0607,0.049,0.0863,0.1586609,2.07E-07,8.07E-06,0.3846,0.401,0.2279,0.1266,0.0585,0.1302,0.3086,0.3598,-0.450668364,-0.17414966,0.088372093,0.71774006,0.631578947,0.71774006,-0.621242045,2.837173579,0.364064955,-0.236899381,-2393405,3878205
1,0.2657,0.1722,0.1327,0.1618,0.17027758,1.36E-07,9.99E-06,0.2805,0.2262,0.3054,0.2792,0.1148,0.2272,0.263,0.2752,-0.307363014,0.031137725,-0.072323232,0.213519068,0.377440264,0.213519068,-0.243040936,1.169454225,0.13770656,0.069514971,-2393095,3879125
4,0.224,0.0349,0.034,0.0558,0.06787509,1.79E-07,6.90E-06,0.2549,0.2409,0.0725,0.0336,0.0334,0.0944,0.2036,0.234,-0.130163679,-0.230429989,-0.008902077,0.730397837,0.445604209,0.730397837,-0.601143674,2.372881356,0.460170147,-0.510961214,-2393285,3879425
